claim_id,doc_path,anchor,claim_text,claim_type,claim_status,owner_area,evidence_required,evidence_status,evidence_ref,freshness_policy,notes
DOC-CLAIM-0001,README.md,cluster-health-and-assessment,"The snapshot collection runs via k8s-diag-agent snapshot CLI with context and output flags.",behavior,current,collection,true,linked,DOC-TRACE-0001,per_release,Canonical capability claim
DOC-CLAIM-0002,README.md,safety-gates-no-autonomous-mutation,"The agent never mutates live clusters without explicit operator approval.",operator,current,security,true,linked,DOC-TRACE-0002,per_release,Safety gate invariant
DOC-CLAIM-0003,docs/data-model.md,source-of-truth-rules,"Run artifacts under runs/health/ are the durable source of truth for observed evidence.",data_model,current,data-model,true,linked,DOC-TRACE-0003,on_change,Canonical data model claim
DOC-CLAIM-0004,docs/data-model.md,incident-model,"Incident is the central lifecycle aggregate root for incident management.",data_model,current,data-model,true,linked,DOC-TRACE-0004,on_change,Core architectural claim
DOC-CLAIM-0005,docs/data-model.md,lifecycle-states,"Lifecycle states follow: open, collecting_evidence, ready_for_review, investigating.",data_model,current,data-model,true,linked,DOC-TRACE-0005,on_change,State machine claim
DOC-CLAIM-0006,docs/data-model.md,protected-states,"Protected states are suppressed, duplicate, and resolved; they prevent normal bundle reactivation.",behavior,current,data-model,true,linked,DOC-TRACE-0006,on_change,State transition claim
DOC-CLAIM-0007,docs/security-policy.md,no-autonomous-cluster-mutation,"The agent must never perform direct mutations on live clusters.",operator,current,security,true,linked,DOC-TRACE-0007,per_release,Hard security invariant
DOC-CLAIM-0008,docs/security-policy.md,provider-boundary,"All LLM interactions are routed through the provider seam (assess-snapshots, assess-drilldown).",security,current,security,true,linked,DOC-TRACE-0008,per_release,Provider boundary claim
DOC-CLAIM-0009,docs/security/threat-model.md,INV-1,"The UI server MUST bind to localhost (127.0.0.1) by default.",security,current,security,true,pending,DOC-TRACE-0009,per_release,Hard security invariant from threat model
DOC-CLAIM-0010,docs/security/threat-model.md,INV-2,"The agent MUST NOT perform direct mutations on live Kubernetes clusters without explicit operator approval.",operator,current,security,true,linked,DOC-TRACE-0010,per_release,Hard security invariant from threat model
DOC-CLAIM-0011,docs/incidents/automatic-diagnosis-loop.md,activation,"The automatic diagnosis loop is opt-in via K9B_AUTOMATIC_DIAGNOSIS_LOOP_ENABLED environment variable with default disabled.",behavior,stale,incidents,true,pending,DOC-TRACE-0011,on_change,Stale doc - feature may have evolved
DOC-CLAIM-0012,docs/incidents/automatic-diagnosis-loop.md,budget-bounds,"When enabled, the collector respects hard budget bounds: max 10 incidents/run, 1 pass/incident, 5 checks/pass.",behavior,stale,incidents,true,pending,DOC-TRACE-0012,on_change,Stale doc - needs verification
DOC-CLAIM-0013,docs/ci-gate-drift.md,manifest-mapping,"Gate mappings are defined in scripts/ci_gate_mapping.json and verified against CI workflows.",ci_gate,current,ci,true,linked,DOC-TRACE-0013,on_change,CI gate drift verification
DOC-CLAIM-0014,docs/ci-gate-drift.md,harbor-canonical,"The canonical push workflow is .github/workflows/harbor.yml running all gates on push to main, release/**, and version tags.",ci_gate,current,ci,true,linked,DOC-TRACE-0014,on_change,CI canonical workflow claim
DOC-CLAIM-0015,docs/reports/security-audit-2026-05-31.md,overall-posture,"Overall security posture documented as REASONABLE with 19 enforced claims and 5 tested-only.",historical,historical,security,false,not_required,,historical_only,Historical audit finding
DOC-CLAIM-0016,docs/data-model/artifacts.md,diagnostic-pack-immutability,"Diagnostic pack ZIPs and run-scoped pack contents are immutable source-of-truth artifacts.",data_model,current,artifacts,true,linked,DOC-TRACE-0016,on_change,Artifact immutability claim
DOC-CLAIM-0017,docs/data-model/run-lifecycle.md,deterministic-health-run,"Health run lifecycle is deterministic and produces typed artifacts under runs/health/.",data_model,current,data-model,true,linked,DOC-TRACE-0017,on_change,Run lifecycle claim
DOC-CLAIM-0018,docs/security/llm-prompt-security-audit.md,prompt-injection-detection,"The system implements deterministic local detector for semantic injection detection.",security,historical,security,false,not_required,,historical_only,Historical security audit finding
